0 177
620 49
1249 237
1889 71
2535 113
3171 163
3850 43
4515 43
5213 40
5956 17
6767 53
7672 8
8691 369
9777 20
10827 18
11886 5
13137 14
14221 83
15683 6
5771 32 39 15
6266 809 48 9
2069 829 1585 9
1670 379 39 6
2624 2238 48 5
3903 9 39 5
3171 612 123 9
991 185 32 11
4886 110 39 14
4340 2792 39 6
10441 264 39 5
4548 5248 48 5
5339 3055 166 8
11560 310 39 11
1612 170 48 7
3271 89 39 6
7646 170 38 11
236 2746 65 8
0 107 48 5
2493 228 39 10
4143 201 48 30
10128 2184 48 6
4859 1435 301 5
289 38 48 10
13556 110 38 5
1640 37 39 5
1972 258 89 6
698 167 164 24
4357 237 39 6
4386 235 48 5
15798 14933 16010 5
4127 10939 1991 9
2793 237 39 5
1598 225 41 8
1315 549 39 9
3467 147 271 9
1390 150 39 5
1433 589 41 7
1697 170 38 7
10493 4336 301 6
5108 16010 48 7
2239 14098 39 5
1821 36 48 5
1063 279 101 6
1773 987 1000 7
2469 237 39 8
713 2383 48 5
1380 1378 60 8
2097 1104 697 14
382 89 41 7
2554 32 38 11
1016 2238 39 6
4891 201 39 5
3055 165 39 28
2413 76 48 6
5782 475 39 7
442 11 48 7
2011 1966 2437 5
402 117 32 5
3966 32 39 34
1744 16010 48 5
529 229 38 12
171 1677 39 5
1345 156 39 7
2113 36 38 9
3724 66 48 5
1527 215 48 5
1815 41 39 40
2746 179 301 5
447 488 39 7
3221 2505 48 8
1072 413 48 9
2990 237 39 6
399 1655 39 8
887 1146 39 7
565 581 258 5
1476 271 39 6
200 117 39 6
926 9 48 12
3311 2284 39 11
2528 831 48 5
708 916 39 7
1378 36 39 6
3321 41 48 29
1104 237 32 5
767 89 32 8
2177 110 38 5
597 310 48 9
1819 110 48 7
2406 806 1146 5
1372 3270 48 6
5728 310 225 10
2843 110 39 6
1163 715 39 5
1966 9 39 5
4307 533 39 5
612 1281 123 6
550 271 39 13
1013 60 48 7
749 94 48 7
4344 41 38 15
3151 12951 101 6
308 2241 39 7
3012 533 89 16
2763 533 48 6
1938 916 38 10
1010 4336 48 10
8867 615 1000 5
12473 589 48 8
4685 161 48 13
2053 301 39 7
5248 38 48 32
615 1000 916 6
3315 41 48 48
128 10491 48 5
684 1196 1986 5
4070 10490 41 6
3279 23 39 6
2596 242 39 7
1280 89 48 6
234 2238 39 8
10551 405 89 6
718 235 39 7
4899 1714 39 6
1282 407 48 6
938 549 101 7
168 16217 48 6
2464 89 39 10
543 297 544 5
682 166 60 5
2440 123 38 7
504 60 38 5
1489 438 38 7
1939 675 48 5
927 3510 32 5
989 345 39 5
4207 270 48 6
278 147 48 5
235 396 39 5
2792 270 39 5
1655 89 41 7
204 229 39 5
262 338 48 5
342 420 48 5
433 1198 201 5
1209 1481 170 5
3964 270 48 12
1196 1986 533 12
203 110 48 12
751 32 38 19
3827 9501 39 5
2091 170 38 8
346 1585 39 5
195 32 38 5
10525 310 65 5
1638 32 39 31
10442 2383 39 10
3904 48 39 179
993 161 48 10
497 237 48 8
2254 604 41 5
829 533 48 8
640 208 39 6
232 2329 39 5
7205 37 39 6
817 259 549 5
8691 89 48 6
2552 32 39 42
2187 677 48 6
390 179 48 5
1082 549 48 6
715 571 48 6
727 60 48 5
1003 649 48 12
840 3616 38 5
1313 1872 39 5
13443 1677 39 5
1361 237 48 12
176 1814 41 5
1103 2673 48 6
1481 12946 48 6
14099 413 48 9
2673 76 48 6
415 604 39 8
8985 179 48 6
12943 2343 12925 5
10653 270 38 7
2056 237 39 16
2241 79 38 5
1513 19 39 7
1486 1327 38 7
2343 251 39 6
514 426 2437 5
830 438 48 7
2987 479 65 7
1062 824 48 11
319 1393 48 5
13189 10515 39 6
47 549 38 5
1404 1327 48 10
1704 10 39 5
831 2238 48 13
2135 1239 39 5
80 2080 65 7
432 623 48 5
1867 279 39 10
1479 548 48 8
178 103 225 7
14933 479 39 5
2080 824 39 6
808 878 48 6
2329 681 48 6
793 11 604 6
2168 522 32 9
798 249 41 7
426 592 32 6
53 161 48 7
571 664 39 5
94 806 39 7
910 16217 39 6
261 413 237 5
1693 201 39 12
623 301 41 5
704 338 41 9
56 270 225 5
30 2046 38 5
961 89 41 6
916 379 39 10
2 3270 48 6
1239 604 48 17
878 31 39 5
1872 549 310 10
885 14098 39 26
374 37 39 7
4336 405 10515 7
947 812 48 8
150 301 65 5
1144 201 249 5
1783 60 48 10
425 101 32 9
441 225 48 16
15618 677 41 8
251 1327 41 5
865 105 48 11
340 449 48 5
789 41 38 46
105 449 38 7
1198 396 39 6
1135 41 32 59
396 225 32 13
259 271 48 14
260 1344 48 7
464 812 32 8
55 549 38 5
11 117 48 14
535 1004 38 6
806 37 39 12
664 1327 38 10
1344 48 39 314
107 225 48 24
371 179 32 6
766 123 38 5
103 229 39 8
976 41 48 122
156 19 39 9
549 185 413 7
649 9 48 33
76 101 32 11
10515 592 39 15
2958 475 39 28
956 413 38 8
479 41 39 154
175 589 39 10
258 533 38 5
19 237 65 5
13041 270 41 13
1004 16010 32 10
589 38 39 124
548 413 41 6
1393 413 48 26
301 185 39 22
592 60 39 19
123 237 39 33
1146 310 48 85
79 2238 36 5
1327 65 41 34
237 89 48 174
5301 41 48 39 6
6302 1378 1080 309 5
7766 2792 809 533 6
2387 76 48 39 6
9683 41 48 39 6
7657 32 48 39 7
4149 32 48 39 7
5352 529 225 38 5
4826 3528 249 48 5
5138 2069 2115 1585 9
523 2523 533 39 7
5740 15832 48 39 5
3528 4824 3529 48 11
2732 41 48 39 11
5273 38 48 39 9
10798 3346 123 475 7
9906 399 60 413 8
191 41 48 39 7
3000 828 48 39 17
5720 2238 438 225 6
3875 41 32 48 5
5490 2168 41 39 13
5038 4994 48 39 11
3260 38 48 39 11
744 1914 41 48 7
1665 32 48 39 9
1880 41 38 39 11
1494 32 38 48 5
2875 41 48 39 13
5593 41 32 39 6
4739 795 2164 334 7
3208 4143 101 48 7
4740 270 41 48 5
796 805 649 39 6
4536 65 48 39 5
3623 695 41 48 6
6173 795 1819 32 9
3330 2760 1896 413 5
4655 3321 48 39 15
594 41 48 39 15
3659 123 438 39 6
4661 185 48 39 6
1385 38 48 39 5
685 1165 3345 32 6
2931 155 272 39 5
3719 610 1052 772 5
6120 225 48 39 10
15659 16010 48 39 7
10804 587 1479 237 8
967 533 32 48 5
4000 772 31 39 5
2393 2830 49 123 5
1853 1327 48 39 5
2431 41 48 39 16
815 351 89 48 8
3926 4357 1281 185 5
2966 89 48 39 9
2034 604 48 39 5
348 101 41 48 5
1971 282 2383 39 8
61 757 1489 1986 11
4832 32 48 39 11
4731 399 413 39 11
729 1165 549 12925 5
357 4360 23 48 5
4556 38 48 39 12
1165 3345 8867 185 5
1165 185 270 310 5
3336 938 48 39 5
3345 1010 12943 12925 5
14804 170 32 39 5
6266 89 48 39 7
1670 267 1578 89 6
192 38 48 39 24
991 2343 1004 48 7
2084 4360 837 865 8
1354 842 32 48 9
2876 910 48 39 6
364 41 38 48 7
236 2746 12929 237 10
1290 41 48 39 32
4143 623 32 48 5
3240 310 48 39 5
228 2238 271 48 6
4744 3021 165 48 6
4360 684 878 39 5
2669 1591 32 39 6
966 1082 878 1600 8
763 41 32 48 6
1115 310 225 48 6
731 10939 48 39 6
1697 824 48 39 6
3896 79 48 39 7
2263 41 38 39 14
211 38 48 39 17
1380 308 1379 549 6
1771 89 32 39 5
1060 310 32 39 7
1387 264 48 39 7
68 270 48 39 6
10939 12929 65 48 8
2011 549 548 48 10
1593 1930 1585 865 5
3006 65 32 39 5
1818 795 1819 475 5
3774 12929 48 39 6
222 1269 2168 2046 8
1012 830 150 48 7
851 798 48 39 14
282 1183 38 39 6
399 1004 48 39 6
4170 547 2238 48 5
392 1052 2437 301 6
3311 2 38 39 5
1378 308 1379 548 6
1378 2046 41 32 5
1160 147 48 39 5
2177 38 48 39 9
1819 2167 3964 41 5
3102 9 48 39 7
5728 1146 48 39 15
167 682 101 39 11
3451 15832 41 48 5
489 310 48 39 5
757 1489 1196 78 6
1013 89 48 39 21
344 229 48 39 5
308 1269 32 38 5
3012 533 89 38 7
1938 271 48 39 9
8867 89 48 39 9
95 186 48 39 9
165 166 1435 592 7
3315 522 41 39 5
684 166 740 39 5
1269 1080 309 36 11
764 237 38 48 11
1379 1344 41 39 6
82 464 65 48 5
5405 225 41 39 6
168 31 41 48 6
5074 32 38 48 13
1842 1043 38 48 6
1281 2399 78 48 5
166 2792 740 533 5
927 14098 41 48 7
213 1361 272 32 5
309 56 48 39 5
1655 413 48 39 7
622 310 48 39 5
75 38 48 39 32
652 2284 41 39 5
2215 12935 48 39 7
2091 1513 48 39 8
1081 232 48 39 5
2633 2399 623 310 5
993 730 1000 916 7
610 772 549 48 6
3510 2238 48 39 8
734 1135 48 39 33
2991 178 270 32 7
2552 89 41 48 8
390 270 32 48 5
715 1327 48 39 5
2515 175 237 32 6
341 2051 48 39 5
12951 831 533 48 7
1103 264 48 39 7
14099 13041 41 32 5
415 475 48 39 7
10656 65 32 48 6
1543 41 38 39 30
1513 2383 310 39 5
1121 89 48 39 22
547 549 41 39 6
591 766 438 48 6
319 15832 41 39 16
365 783 41 39 5
1585 310 41 48 6
1659 170 41 38 5
80 976 117 39 5
136 438 38 39 5
10444 89 48 39 26
14933 916 36 48 5
2399 41 48 39 48
2329 1004 89 39 7
793 41 38 39 25
798 147 41 39 5
2284 270 41 39 7
1355 36 41 38 5
94 89 48 39 23
261 41 32 48 26
623 117 41 39 7
208 255 41 39 5
30 237 65 39 5
916 878 170 39 5
1043 14098 48 39 9
878 117 48 39 5
1872 32 38 48 15
374 976 117 48 5
4336 255 38 39 7
846 101 41 39 10
1144 16217 41 48 5
675 225 41 48 7
441 101 38 39 5
10446 664 48 39 5
809 413 48 39 14
340 2238 101 48 5
3616 10515 48 39 7
186 2238 225 39 7
1135 65 41 39 11
379 225 32 48 7
449 36 32 38 7
464 185 41 48 7
681 533 32 39 11
10 79 41 48 7
806 549 38 48 5
664 548 41 39 7
23 76 48 39 9
1435 16010 41 39 7
570 9 48 39 9
703 237 41 48 6
976 36 41 48 6
156 740 48 39 6
